year,month,gs1,ebp,ff4_tc,ipgr,infl
1990,1,7.92,0.121781,0,-0.607799999999997,0.945600000000013
1990,2,8.11,0.241804,-0.015,0.930000000000007,0.391399999999976
1990,3,8.35,0.349573,-0.0075806,0.536000000000001,0.467700000000036
1990,4,8.4,-0.029281,-0.0174194,-0.131500000000017,0.233000000000004
1990,5,8.32,-0.071917,0,0.192900000000009,0.154999999999973
1990,6,8.1,0.035864,0,0.320400000000006,0.617799999999988
1990,7,7.94,0.006528,-0.0664516,-0.145200000000045,0.460800000000006
1990,8,7.78,-0.269673,-0.0335484,0.283800000000042,0.839400000000012
1990,9,7.76,-0.051052,0,0.198899999999981,0.681600000000003
1990,10,7.55,0.099413,-0.011281,-0.759999999999991,0.676899999999989
1990,11,7.31,0.258542,-0.0130424,-1.21980000000002,0.224600000000009
1990,12,7.05,0.192606,-0.0956667,-0.698800000000006,0.373300000000029
1991,1,6.64,0.22076,-0.1674193,-0.440899999999999,0.371899999999982
1991,2,6.27,0.139982,-0.2304378,-0.643699999999967,0.0742000000000189
1991,3,6.4,0.095124,-0.0363364,-0.521200000000022,0
1991,4,6.24,0.092676,-0.0321398,0.164300000000026,0.222299999999962
1991,5,6.13,0.106881,-0.1946344,1.00059999999996,0.369399999999985
1991,6,6.36,0.033201,-0.0090322,0.975500000000011,0.294600000000003
1991,7,6.31,0.115509,0.0087097,-0.0262000000000171,0.146900000000016
1991,8,5.78,0.074946,-0.0803226,0.149200000000008,0.293299999999988
1991,9,5.57,0.088652,0.0016129,0.867799999999988,0.292400000000043
1991,10,5.33,0.086014,-0.0025806,-0.218899999999962,0.145899999999983
1991,11,4.89,0.095896,-0.1374193,-0.108000000000004,0.436399999999992
1991,12,4.38,0.02729,-0.1206452,-0.365299999999991,0.289800000000014
1992,1,4.15,-0.038977,-0.1493548,-0.629099999999994,0.0722999999999843
1992,2,4.29,-0.013052,0,0.77759999999995,0.216700000000003
1992,3,4.63,-0.03771,0,0.792100000000005,0.360099999999989
1992,4,4.3,-0.01459,-0.1493334,0.710700000000031,0.215399999999988
1992,5,4.19,-0.096207,-0.0467997,0.355199999999968,0.215000000000032
1992,6,4.17,-0.148848,0.0061229,-0.00589999999999691,0.286000000000001
1992,7,3.6,-0.233425,-0.2903225,0.861100000000022,0.2851
1992,8,3.47,-0.063198,-0.0054839,-0.501800000000003,0.213199999999972
1992,9,3.18,0.010572,0.0148064,0.215199999999982,0.212900000000047
1992,10,3.3,0.000714,0.0090646,0.779700000000048,0.42429999999996
1992,11,3.68,0.050682,0.0019355,0.416799999999967,0.281900000000007
1992,12,3.71,0.082522,-0.0029032,0.0237000000000194,0.140699999999981
1993,1,3.5,0.03413,-0.0070968,0.492899999999963,0.350700000000018
1993,2,3.39,-0.011742,-0.0178571,0.367200000000025,0.209900000000005
1993,3,3.33,0.000532,-0.0021429,-0.0375999999999976,0.13960000000003
1993,4,3.24,0.005023,0,0.300599999999974,0.348299999999995
1993,5,3.36,-0.010239,-0.0083871,-0.351699999999994,0.277799999999957
1993,6,3.54,-0.092369,-0.0116129,0.207699999999988,0.0694000000000301
1993,7,3.47,-0.098521,0,0.306700000000035,0.13839999999999
1993,8,3.44,-0.126471,0.0045161,-0.0400999999999954,0.207400000000007
1993,9,3.36,-0.038514,0.0084839,0.471499999999992,0.138100000000009
1993,10,3.39,-0.111725,0.007,0.733499999999992,0.412899999999979
1993,11,3.58,-0.169558,0,0.403900000000021,0.274400000000014
1993,12,3.61,-0.200074,-0.0032258,0.502700000000004,0.205199999999991
1994,1,3.54,-0.269455,-0.0067742,0.40119999999996,0
1994,2,3.87,-0.459178,0,0.0511999999999944,0.273099999999999
1994,3,4.32,-0.350492,0,1.02260000000001,0.27230000000003
1994,4,4.82,-0.320025,0.052,0.53000000000003,0.0678999999999519
1994,5,5.31,-0.319522,0.0921935,0.547599999999989,0.203599999999994
1994,6,5.27,-0.36392,0.0258064,0.662499999999966,0.270800000000008
1994,7,5.48,-0.323668,0,0.157800000000009,0.337500000000034
1994,8,5.56,-0.296783,0,0.567200000000014,0.403500000000008
1994,9,5.76,-0.42854,-0.0039999,0.317299999999989,0.201199999999972
1994,10,6.11,-0.326659,-0.026,0.869200000000035,0.0668999999999755
1994,11,6.54,-0.30399,0.0426667,0.637200000000007,0.267400000000009
1994,12,7.14,-0.253074,0.0179784,1.03839999999997,0.20010000000002
1995,1,7.05,-0.273132,-0.0306451,0.194799999999987,0.266099999999994
1995,2,6.7,-0.327196,0,-0.0636000000000081,0.2654
1995,3,6.43,-0.329607,0.0025806,0.159600000000012,0.198700000000031
1995,4,6.27,-0.259701,0.0174193,-0.0428999999999746,0.395999999999958
1995,5,6,-0.401863,0,0.263199999999983,0.197400000000016
1995,6,5.64,-0.187211,0,0.364500000000021,0.197000000000003
1995,7,5.59,-0.346603,-0.1258065,-0.385699999999986,0.131199999999978
1995,8,5.75,-0.248873,-0.0241935,1.30879999999996,0.19640000000004
1995,9,5.62,-0.207413,0.005,0.368600000000015,0.13069999999999
1995,10,5.59,-0.178842,0.025,-0.177799999999991,0.260999999999967
1995,11,5.43,-0.095936,0,0.25849999999997,0.130200000000002
1995,12,5.31,-0.087709,-0.0209677,0.386200000000031,0.129999999999995
1996,1,5.09,-0.116741,-0.0296774,-0.661400000000015,0.518500000000017
1996,2,4.94,-0.330019,-0.0193548,1.58260000000001,0.193699999999978
1996,3,5.34,-0.340443,0.0019336,-0.155399999999986,0.322100000000034
1996,4,5.54,-0.294273,0.0080564,0.833999999999946,0.385099999999966
1996,5,5.64,-0.327362,0,0.694200000000023,0.192000000000007
1996,6,5.81,-0.303977,0,0.885499999999979,0.191599999999994
1996,7,5.85,-0.373247,-0.0280645,-0.132299999999987,0.191300000000012
1996,8,5.67,-0.436534,-0.0019355,0.648900000000026,0.127299999999991
1996,9,5.83,-0.424425,-0.0303333,0.529699999999991,0.317600000000027
1996,10,5.55,-0.381406,-0.0996667,0.0041999999999689,0.316500000000019
1996,11,5.42,-0.349662,-0.006,0.818399999999997,0.315599999999961
1996,12,5.47,-0.442943,-0.0088387,0.639499999999998,0.251700000000028
1997,1,5.61,-0.350262,-0.0051613,0.113300000000038,0.188400000000001
1997,2,5.53,-0.485871,0,1.20490000000001,0.187999999999988
