gamma_f,lambda,rho_pi,rho_x
0.5852095474103195,-0.00030037050273303695,0.7120631894492738,-0.01502714935397185
0.5524875685150323,2.789521356657567e-05,0.8109152607491166,0.002365703899260441
0.5650605234753117,0.00010279684069596905,0.7704049695298664,0.007778354612187464
0.5620783645223746,0.0002535747369445448,0.7860748247435669,0.019430063919541652
0.570073239970324,0.00016844137212719372,0.7568568572293073,0.016928877349545055
0.5708070705510286,0.0010363347592027977,0.7564354883815053,0.05860201064275925
0.5723322247619873,0.0001892875486139648,0.7479009831304165,0.007231109867806999
0.5895612845045671,0.00020471311357719846,0.6978899121704676,0.00829853553274057
0.5578952923324049,8.0149770924208e-05,0.7938555799918104,0.005115174104408596
0.5468887603866224,0.00024194085749630785,0.8321008028798085,0.01402303534608028
0.5717934920393379,-0.0004509840270969026,0.7462304973668511,-0.012160039970013874
0.5640543388060211,-0.00023903244494980457,0.772388971611768,-0.007368008576590911
0.5634365663042405,0.0005299567975963048,0.7792220852019782,0.02488165079246056
0.5598141075896029,4.447357711861522e-06,0.7863124179064727,0.00014153717732540196
0.5689964002518543,7.974160444718104e-05,0.7604327056099197,0.011335518330843107
0.5885219208655303,0.0005763480745775429,0.7039388054016782,0.018879531494632708
0.5729922173123156,0.00016451925532377527,0.7437862494596748,0.012344743158674261
0.5499615692208425,0.003748619503861624,0.7916428016107676,0.05661692425362974
0.5695418010245927,0.00011848080327710522,0.7626740529459508,0.014990997323026539
0.5486529481231156,0.0003564388396574882,0.8245235686214611,0.01820613564015114
0.5578979960731395,0.000300588915206762,0.7981979782493327,0.014523272790463696
0.5676983708232727,0.0002794588824887208,0.7657855306470268,0.02093623304682137
0.5707255617377404,0.0002787338065575037,0.7528487064938767,0.00851966960436258
0.5595575562260118,0.00040537596474583305,0.7874567725140037,0.015460695213659722
0.5646987458521132,0.00037408092727334204,0.7766721587588837,0.018113186068646852
0.5709674127789401,-0.0002898484497008422,0.7490218038364823,-0.013020778662142888
0.6398220872839544,-0.0007090279106913254,0.555684142347055,-0.025227663459936385
0.5571717932821652,0.00020433641169132974,0.8015402280336507,0.01604219744017433
0.5790857015337059,0.0006987698026648548,0.7339444435942375,0.02362162828204504
0.5884180981813076,0.0003521590763867384,0.6987240625451802,0.028634618767032254
0.5558116100429884,-0.0018008736456240175,0.7920005657578935,-0.03827790818094508
0.5607572199873826,0.0014442335089095981,0.793227029896659,0.04530179696681809
0.5543786124714787,-0.005757601769772684,0.7757840479323639,-0.08434354677360335
0.5808902619771823,2.790679347309719e-05,0.7219094363808469,0.002364473469711082
0.579495491822746,0.0006738174538653986,0.7304112533578621,0.023248145727724767
0.5755530708778538,0.00018042933421557987,0.7452746673956385,0.01833603730496619
0.5417142913044822,-0.0011656171591016527,0.8268140227692699,-0.03188525675772345
0.560278065468577,-0.0012663654127664688,0.7740059248825041,-0.022281303508762486
0.567535487475263,0.00048146662558706463,0.77317358044503,0.022732526015855993
0.5643647225178873,-0.0005049335371410078,0.7723823776880144,-0.028314309702133576
0.5717719085749075,0.00044784973473301765,0.7737176712964297,0.04320531249305176
0.5540125494316436,0.0002551089020546146,0.8086142133639538,0.013679721181563758
0.5734462807962141,0.0002782215005631694,0.7441094865614379,0.008061744562145399
0.5550627571412349,0.0005597115825096881,0.8027813904861318,0.014069668369060068
0.5686683212725704,-0.00010783563787541538,0.7574479541476301,-0.002670946244267906
0.5525895161060356,-0.00022299321851133522,0.8084356802688639,-0.005980765401423969
0.5647267048468594,0.0012914946959025723,0.7747964852063194,0.03364650065469102
0.5770724448626963,-0.0002533764094021316,0.7320212590268289,-0.007679093643422083
0.5610591569668065,-3.129269611030507e-05,0.7821679892012043,-0.0010742803754284788
0.5576416904397089,-0.00014832556167483895,0.7914011946104864,-0.0045042945301828115
0.5651215305748196,4.445052599661402e-05,0.7699389066926675,0.0018523770953410127
0.5601553209163589,0.0002006925784169382,0.7916879172064178,0.016150942044049335
0.5833034759977608,-0.00048029865266767044,0.7053603535921554,-0.030053386475284962
0.5639008958267983,0.00022016544513871628,0.7765185718164097,0.010314874342167811
0.5483926864187669,-1.447501969224374e-06,0.8234997697180789,-7.751566686484387e-05
0.5938815585952856,0.0013153330776547768,0.6941613122642007,0.04273366037709876
0.5730737484777876,-0.0012541317605587986,0.7461494421472292,-0.02662023443015039
0.5577875871678116,0.0007282964404639915,0.7935051001832649,0.04249082798067096
0.5723501346337911,-7.507763946877589e-05,0.7455397568440065,-0.003953052442444425
0.5565599148406091,0.00038580133685950715,0.8006029080781555,0.016029606564488028
0.5837356307864789,0.00040963803185199883,0.7216888339758406,0.020515753739519818
0.5566494477295051,0.0006084789281142998,0.8098392959966814,0.031634453017518514
0.5859582363139721,0.00031190084780788763,0.7114279244061,0.012341539257133159
0.5799258101245408,0.0004750116976821525,0.7312430422279363,0.017672255730072552
0.5741398662285301,-6.0982903325833195e-05,0.7387879982846137,-0.0048845538971254475
0.5835630606447956,-7.675239481653797e-07,0.7135965413110361,-6.189143216420183e-05
0.5684238605056264,0.0005028276062857776,0.7591998916813115,0.025878970072356094
0.5640517216954025,0.00017507404295994365,0.7751004387947069,0.00994105707749299
0.5442764571923657,-6.075033453156872e-05,0.8363823532518597,-0.0030215278831836616
0.558354120679268,-0.00029379098570017116,0.7851670572591697,-0.010018074921352337
0.5755195530346671,0.0007292309023514063,0.7466783582068661,0.040663339968521166
0.5754929798266524,-0.00023187908186129893,0.7372917344937201,-0.011642647658260563
0.5441537189776593,-0.0006400469520396043,0.8290535851680884,-0.01356086750838937
0.5697594650307659,0.0002152110869081507,0.7572012631822057,0.012184242837034264
0.5941134726589173,-2.164383309552118e-05,0.6824049624243561,-0.0019593567009675997
0.5704886237508321,-0.001021560958784232,0.7504953798476385,-0.021610123751817957
0.5809754324065017,-0.0015756757560626902,0.7129730546926075,-0.02556433473729631
0.5897411304801493,3.170672233243502e-06,0.6957069855405522,0.00039135224472872804
0.5889465937123042,0.00017059976799564712,0.6985930653499596,0.003925590328835355
0.5658568624583141,7.511342964685317e-05,0.7681074802364883,0.004746901360869767
0.562087526137878,-0.00032944231399064175,0.7731710339773676,-0.014421937392038654
0.5619624208740107,0.0008851226149157419,0.7845908015379535,0.026312563382964536
0.5563536041169438,0.0002471254287046325,0.796332255135801,0.008947492330365698
0.5640639185535924,6.043523688827165e-05,0.7727239662316456,0.0013543705341328917
0.5728151010727932,-8.23486712664555e-05,0.7458334341809711,-0.0037958180199107864
0.5758301744407339,-0.0005699209495531529,0.7189958216988994,-0.034954927973897855
0.5605115767671178,0.0002548733047864557,0.7832923490288208,0.008070695825585958
0.5728832374142478,0.0007126572395547877,0.7529708296818655,0.01999030453086592
0.5514394585189086,-0.00031561572104907287,0.8087482644105071,-0.014847462114418944
0.5991186802942635,1.8640404671087165e-06,0.6691760626670564,0.00028402789557734374
0.5661186300581984,-0.0001794187019703089,0.7656118204874028,-0.007107525279177025
0.5670584509045777,0.0005018770360482941,0.773356770102011,0.021024396081632393
0.5640117501543153,-0.0001614247747418569,0.7705786853095684,-0.008423342895902982
0.5684706263762268,0.0003605559963087363,0.7640426839048342,0.013027103407343605
0.5664470932620679,6.659240826013704e-06,0.7654115407883301,0.00033090707664591875
0.5607156079423787,6.566870875722485e-05,0.7847289868139925,0.0041298372691193855
0.575157190066051,0.00269845500836198,0.7374855267787372,0.054573974236014226
0.5790963303284228,-0.00047862411582129914,0.7287233547071362,-0.014068206650700828
0.5431935463882818,0.00015408044868289077,0.8433559717886946,0.004427900339544897
0.566739429983301,-0.0004805487244110146,0.7611459363325748,-0.023916447480041618
0.5603508445374553,0.0005675264722487527,0.7911503135360373,0.024526936377557162
0.5528180918034686,0.00044265541338241003,0.8127042239909883,0.015380408357720855
0.5864791796652609,-0.00014121119472606126,0.6995362233156588,-0.009166149779189298
0.5604918855194831,-0.00046817634145199065,0.7802437764023069,-0.013946396394517691
0.555045877725486,0.00033850147390643466,0.8019028690228335,0.01589508774378028
0.5810645296588184,0.0001352128511224993,0.7237449370129548,0.005567531724447125
0.5629871349465915,9.652708968578994e-05,0.7768932729039896,0.006658241105842832
0.5611577902659961,-3.644444507885469e-05,0.7817584575111789,-0.002630910503326398
0.5643502833878258,0.00010194231727184578,0.7737167041096241,0.006516124247655499
0.5605928683325814,0.0003218692876639038,0.7844076406992108,0.024300467235383004
0.552112972951482,0.00012483630637330012,0.8129137303283883,0.00402304792035749
0.579133820747881,3.683619623331665e-05,0.728284384881676,0.004685298186619858
0.5902413637570197,-0.0004854314223407107,0.6875402598282598,-0.01343847856068096
0.572730317876882,0.0005910527711934163,0.7416905795807555,0.018237542270181564
0.5609249440495819,0.0002356315261955481,0.7858375033461192,0.009795665945245762
0.5819513125532226,0.00027174875480743925,0.7206784305350633,0.01127616211474052
0.579956730025898,0.0005214893799425878,0.7357819382724895,0.022133281678242148
0.5578993523421255,0.0003912367264587678,0.799232941918754,0.016549717134321525
0.5434726544834284,0.00011284572651144246,0.8425690839488166,0.007888527105111854
0.56386852466326,-0.00028175495106243405,0.7655913778886242,-0.019648940744864188
0.5669940652548813,0.00033816362698929625,0.7695773240441643,0.02163222843228171
0.5697615770689806,0.0003587063356640524,0.7582190127294428,0.017288877930080986
0.600613070514797,-0.0001511541389421821,0.6635787939677309,-0.00682156701319367
0.546339884750599,0.0015775123997532302,0.8345323808270981,0.048222238422509646
0.5843229943795886,3.9203355297473975e-05,0.7116844825683867,0.0026568230014562062
0.5590611910070987,0.001062337071484707,0.7907966291797572,0.016793691640463473
0.5546085759613651,-8.868229045908612e-05,0.8009298021415167,-0.005370677619993401
0.5738302941272435,0.000220261895258503,0.7440960253728678,0.007295995364825627
0.5567345535277428,-4.625816020632019e-05,0.7956692410345001,-0.0019394849010681422
0.5514971320637936,0.00023089795728799614,0.8145309233143008,0.007976614685456839
0.5613304100498,7.893629270801141e-05,0.7877027424873875,0.008649715281410118
0.5596018402157992,-0.0011238468698998617,0.7780894228282502,-0.03697061706113209
0.5441109073940219,6.343190780636705e-05,0.8395373225289813,0.005544419516009224
0.5708718599329352,0.00024774995696349826,0.7570102723725697,0.012773751058371315
0.5540835033420387,-0.00088831007597087,0.8073557168563726,-0.0198909970752927
0.5850290426177301,0.00039532907396199954,0.7137744227234489,0.019780879178470524
0.5446114743143793,-0.00033255563642532304,0.8325991708182188,-0.012549002983836328
0.5749033369914447,-0.0007023495394477891,0.7355931330404775,-0.012809821542864605
0.5726839162117201,3.8273146322602815e-05,0.7470466778505167,0.0022481281905978303
0.5520999307090616,-0.00024481819937448995,0.8081591514569662,-0.008051878536428749
0.5537345208546116,0.0004019674399018125,0.8104136346800117,0.013435830977858013
0.5732513127105672,-0.0004335065766070652,0.7390241752315339,-0.010562319700658471
0.5810234223468466,0.00014831795730226634,0.7235042640986677,0.008538186728796436
0.5518698415296532,-0.0001747771426085301,0.8090178949001844,-0.008706738979178865
0.5552016856030143,2.5677086842635505e-05,0.8019189363322726,0.002041197395359185
0.5712848017357846,0.0001898681787626871,0.7531856949505529,0.010307701316249702
0.5650644582300928,0.0006478549854550333,0.7855082293422093,0.043688354115351775
0.5689979794305188,0.0002592858785787633,0.7662605216620316,0.015363613916195918
0.5633438943139353,-0.0002676174511750569,0.7717429425585655,-0.021690705991050857
0.5795057726781772,-0.0005754954890585008,0.7200904768526517,-0.03436370442724149
0.5744578736093741,-0.000380046333288777,0.7397704786093287,-0.018881436901937613
0.5527522497214067,0.00036977711870590704,0.8137953802426576,0.01264995736037487
0.5573518280707793,0.00022703934354987958,0.7948166522032827,0.017936509928617075
0.5710256192148357,-0.0001724919974371783,0.748621134788911,-0.006800512522220777
0.5607542987169156,0.0002780206361839496,0.7920795749648336,0.02468177050712602
0.5591839632019286,0.0005106439583107709,0.7913991480965289,0.01258541553529665
0.567084398031651,0.0003367959828287949,0.7663163158034418,0.013936248405259645
0.5573075546790949,-0.0005844557463690735,0.7924035505545397,-0.027452065933190405
0.5888196784830715,-4.766978513358051e-05,0.697898147533372,-0.0020784964817678582
0.6274491413556755,0.000998540301175091,0.5997382797675425,0.05577872055310881
0.5724327339245587,-0.00013443797126960842,0.7465349114234502,-0.003887036721481604
0.5651339101413116,-0.00028860714159262627,0.7590544760985702,-0.02343080267976851
