parameter,estimate,ci_lower,ci_upper
gamma_f,0.5606035202173506,0.5443636826288687,0.5934595471720868
lambda,0.0001062558457022183,-0.0012541472625549135,0.0013311599688716719
rho_pi,0.7855505854877631,0.686597850126927,0.8364728962610326
rho_x,0.006918439563453043,-0.03210240741550281,0.040942385723369876
