horizon,svar_iv_ebp,svar_iv_gs1,lpiv_recursive_var_ebp,lpiv_2sls_ebp
0,0.7109948993057924,1.0,0.6929102881745909,0.6929102881745917
1,0.5807509071593128,1.3429223663412049,0.5247269695434325,0.550228343399188
2,0.7200325863351065,1.3019181303783138,0.44352496637133537,0.5432460300947147
3,0.48958852969533173,1.3638685126292023,0.48626685149206333,0.39061973184335025
4,0.5017528727412786,1.3686439298702986,0.3486283986000856,0.6400875813070334
5,0.47203108282370465,1.3187356928324259,0.34216366324082337,0.40326577715465994
6,0.4391965326548914,1.2467707201343208,0.39491511328885004,1.3374357113011002
7,0.3796356083039676,1.1876171419722776,0.3253443661022028,1.4832987477893347
8,0.3699302659171307,1.12206599477004,0.2695440518069846,0.5698553431614876
9,0.34959175154285316,1.0487371033208412,0.2660264973853953,0.2727544314482483
10,0.32900423470845297,0.9732628082791839,0.24900855726582993,0.9243760622214388
11,0.31037251366382956,0.9019252381703403,0.2163005924338705,1.1919209184706905
12,0.29914481846554186,0.8328493024014568,0.1977488490769224,0.8447838055577666
13,0.2850078050629028,0.7661742692982787,0.18801335888936166,0.5745265119666617
14,0.2711631888306977,0.7027804705868409,0.174704148292423,0.2934780717704282
15,0.25851444947061986,0.6432035550411108,0.16053841675064476,0.12975222957735372
16,0.2469031911666049,0.586861091834715,0.15045951462717264,0.0056708191870264366
17,0.23493537545336632,0.533658491634247,0.14195418872316165,-0.07516334818264217
18,0.22343512087742506,0.4836306560329213,0.13273335228099947,-0.005757230682182278
19,0.21248743573298196,0.43668976011935345,0.12401340213573596,0.23577657946897995
20,0.2019110104005515,0.3926216223286709,0.11647907974768264,0.41741142356287375
21,0.19156832958227277,0.3513188808964225,0.10932437585519539,0.5317679287447188
22,0.1816267973165654,0.31268159067781987,0.10230323875158318,0.8921130376997067
23,0.17206676814255528,0.2765812013864516,0.09573435706014552,0.8143578554525116
24,0.16284136568295668,0.24288435061369862,0.08961321565365536,0.9684747163557411
25,0.153945386152868,0.21148092631629523,0.08376042741384188,0.9932339944765725
26,0.14540255715399877,0.18226100396407174,0.07817181645949915,1.5913938167198478
27,0.13719771049150262,0.15511269782424586,0.07288889283659362,1.1135381851956307
28,0.12931825906310096,0.1299290378226997,0.06787835381536919,1.2410878726434214
29,0.1217613999520472,0.10660973515788108,0.0631052746180406,0.8034738861159668
30,0.11452409223603793,0.08505674570651056,0.05856883893611752,1.2507887594876794
31,0.10759654335054498,0.06517493003407893,0.05426478740836101,0.778854349157706
32,0.10097085423845918,0.04687330776402343,0.0501778602024641,1.157888538233018
33,0.0946404961865294,0.030064731624760532,0.0462980502072498,0.7631267286313876
34,0.08859794588946517,0.014665156254580425,0.04261986919328756,1.0742063185918445
35,0.08283470614001022,0.0005938892782505478,0.03913557098075065,0.5201053803907487
36,0.07734278886796395,-0.012226308433636146,0.035836865226924954,0.7792090434247206
