horizon,svar_iv_ebp,svar_iv_ebp_ci90_lower,svar_iv_ebp_ci90_upper,lpiv_recursive_var_ebp,lpiv_recursive_var_ebp_ci90_lower,lpiv_recursive_var_ebp_ci90_upper,lpiv_2sls_ebp,lpiv_2sls_ebp_ci90_lower,lpiv_2sls_ebp_ci90_upper
0,0.7109948993057924,0.19012611133273247,1.8258871311605152,0.6929102881745909,0.1902848948307582,1.7406632639742259,0.6929102881745917,0.19028489483075867,1.740663263974226
1,0.5807509071593128,0.17446036303901313,1.3296551409553,0.5247269695434325,-0.048477137008933406,1.360459082799902,0.550228343399188,-0.06677632499089993,1.415503027401185
2,0.7200325863351065,0.22769769772444487,1.633263544332559,0.44352496637133537,-0.28251691087388203,1.3936997809192073,0.5432460300947147,-0.28869021903024383,1.4708271609790287
3,0.48958852969533173,0.029347788373385197,1.2674462194038982,0.48626685149206333,-0.29065275050350553,1.5450104150217097,0.39061973184335025,-0.3310292131421762,1.6242901069198519
4,0.5017528727412786,0.01544538221544369,1.2771879530598516,0.3486283986000856,-0.48833293077245404,1.340873563856514,0.6400875813070334,-0.5818852729955216,1.507119764052919
5,0.47203108282370465,0.016272932650063347,1.14102118947001,0.34216366324082337,-0.48940619183366696,1.2881479218122176,0.40326577715465994,-0.6753328632152293,1.5442750270201848
6,0.4391965326548914,0.01200564278546404,1.0788424607946203,0.39491511328885004,-0.37385006198490833,1.345138961487086,1.3374357113011002,-0.6891269866600875,1.6737663000643983
7,0.3796356083039676,-0.011400702109180504,0.9464467865836524,0.3253443661022028,-0.40322372110547094,1.1800701383799723,1.4832987477893347,-0.791120590662543,1.588772285779846
8,0.3699302659171307,0.004106669808212069,0.8996626322129384,0.2695440518069846,-0.4068306346560578,1.0308819254619972,0.5698553431614876,-0.9583152372488597,1.5731312416427188
9,0.34959175154285316,0.010050520627788093,0.8406195480220728,0.2660264973853953,-0.33927996106169095,0.9680047035826987,0.2727544314482483,-1.0051292518902384,1.5865811859032812
10,0.32900423470845297,0.017480037707625896,0.796084856716525,0.24900855726582993,-0.2891135625555341,0.8875604348486548,0.9243760622214388,-1.089996919268379,1.5888278363271047
11,0.31037251366382956,0.013876950577952235,0.7418888856431555,0.2163005924338705,-0.28243330979322717,0.7945243009378411,1.1919209184706905,-1.1315971935960818,1.5638276810233958
12,0.29914481846554186,0.02591980012517215,0.7015160445242054,0.1977488490769224,-0.26003005974233084,0.7057200760031754,0.8447838055577666,-1.14464500717807,1.4931056752550438
13,0.2850078050629028,0.026328257499546287,0.6630181269806369,0.18801335888936166,-0.22883659302096399,0.6539544059099275,0.5745265119666617,-1.1744796185420314,1.5231621195137255
14,0.2711631888306977,0.029206184856248207,0.6235799157621447,0.174704148292423,-0.20051778498517336,0.5973302179180947,0.2934780717704282,-1.167611963181472,1.518289141344338
15,0.25851444947061986,0.02869744896426952,0.5854094067075718,0.16053841675064476,-0.1743478470948354,0.5466818590435385,0.12975222957735372,-1.200880792846494,1.4808968906214635
16,0.2469031911666049,0.029357841475712274,0.5516064864372247,0.15045951462717264,-0.15973686847868837,0.5075925200356682,0.0056708191870264366,-1.2360615896807492,1.4350233372595669
