method,parameter,estimate,std_error
2SLS / one-step GMM,c,-0.00015934975850370384,0.0003776886397317169
2SLS / one-step GMM,gamma_f,0.8225442901385839,0.16574333077793507
2SLS / one-step GMM,gamma_b,0.20685021118621486,0.1256600695176766
2SLS / one-step GMM,lambda,-1.2828420556623267e-05,6.292096830120021e-05
Efficient two-step GMM,c,-0.0002552857398092317,0.0003495855825194122
Efficient two-step GMM,gamma_f,0.83626544853426,0.13077178332731948
Efficient two-step GMM,gamma_b,0.19374575521638568,0.09941757090347726
Efficient two-step GMM,lambda,1.0836498979984508e-06,5.857904446609757e-05
